hey_commuter-Joanna-strong_high_pitch-polly.wav, hey commuter, commuter
hey_commuter-Amy-weak_low_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Kimberly-slow_high_pitch-polly.wav, hey commuter, commuter
hey_commuter-Geraint-slow_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Nicole-slow_low_pitch-polly.wav, hey commuter, making music
hey_commuter-Brian-slow_high_pitch-polly.wav, hey commuter, commuter
hey_commuter-Geraint-fast_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Joanna-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Brian-weak_low_pitch-polly.wav, hey commuter, commuter
hey_commuter-Kendra-fast_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Amy-strong_low_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Salli-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Brian-fast_low_pitch-polly.wav, hey commuter, take me to
hey_commuter-Justin-strong_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Kendra-slow_low_pitch-polly.wav, hey commuter, commuter
hey_commuter-Kendra-strong_high_pitch-polly.wav, hey commuter, a commuter
hey_commuter-Emma-slow_high_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Kimberly-slow_low_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Amy-strong_high_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Russell-weak_slow-polly.wav, hey commuter, UNK
hey_commuter-Joanna-strong_slow-polly.wav, hey commuter, UNK
hey_commuter-Joey-strong_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Geraint-strong_high_pitch-polly.wav, hey commuter, hey computer
hey_commuter-Kimberly-fast_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Joey-slow_high_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Joanna-slow_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Salli-weak_slow-polly.wav, hey commuter, altimeter
hey_commuter-Salli-strong_fast-polly.wav, hey commuter, UNK
hey_commuter-Justin-slow_high_pitch-polly.wav, hey commuter, Mega Mewtwo
hey_commuter-Kimberly-weak_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Amy-strong_slow-polly.wav, hey commuter, commuter
hey_commuter-Ivy-fast_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Ivy-slow_high_pitch-polly.wav, hey commuter, hey Camilla
hey_commuter-Joey-fast_low_pitch-polly.wav, hey commuter, take me to
hey_commuter-Geraint-strong_fast-polly.wav, hey commuter, Patron pizza
hey_commuter-Brian-weak_slow-polly.wav, hey commuter, commuter
hey_commuter-Brian-strong_low_pitch-polly.wav, hey commuter, can you commute
hey_commuter-Russell-strong_slow-polly.wav, hey commuter, UNK
hey_commuter-Kimberly-strong_fast-polly.wav, hey commuter, commuter
hey_commuter-Ivy-weak_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Matthew-weak_high_pitch-polly.wav, hey commuter, a commuter
hey_commuter-Kimberly-fast_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Justin-strong_fast-polly.wav, hey commuter, UNK
hey_commuter-Salli-strong_slow-polly.wav, hey commuter, commuter
hey_commuter-Justin-fast_high_pitch-polly.wav, hey commuter, hey can you
hey_commuter-Geraint-weak_fast-polly.wav, hey commuter, Titanic
hey_commuter-Joey-slow_low_pitch-polly.wav, hey commuter, a computer
hey_commuter-Nicole-strong_slow-polly.wav, hey commuter, telecommute
hey_commuter-Emma-strong_slow-polly.wav, hey commuter, commuter
hey_commuter-Brian-slow_low_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Joey-weak_low_pitch-polly.wav, hey commuter, take me to
hey_commuter-Brian-strong_slow-polly.wav, hey commuter, commuter
hey_commuter-Salli-strong_high_pitch-polly.wav, hey commuter, a commuter
hey_commuter-Kendra-strong_slow-polly.wav, hey commuter, computer
hey_commuter-Ivy-strong_low_pitch-polly.wav, hey commuter, hey Camilla
hey_commuter-Ivy-strong_high_pitch-polly.wav, hey commuter, hey Camille
hey_commuter-Emma-fast_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Russell-strong_high_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Kendra-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Kendra-weak_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Joanna-weak_low_pitch-polly.wav, hey commuter, altimeter
hey_commuter-Geraint-fast_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Kimberly-strong_low_pitch-polly.wav, hey commuter, commuter
hey_commuter-Matthew-strong_slow-polly.wav, hey commuter, City commuter
hey_commuter-Matthew-fast_high_pitch-polly.wav, hey commuter, OK commuter
hey_commuter-Geraint-strong_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Nicole-weak_high_pitch-polly.wav, hey commuter, hajimete
hey_commuter-Matthew-strong_high_pitch-polly.wav, hey commuter, okay commuter
hey_commuter-Ivy-fast_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Joey-strong_fast-polly.wav, hey commuter, UNK
hey_commuter-Emma-slow_low_pitch-polly.wav, hey commuter, altimeter
hey_commuter-Amy-fast_high_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Kimberly-strong_high_pitch-polly.wav, hey commuter, commuter
hey_commuter-Russell-strong_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Brian-weak_fast-polly.wav, hey commuter, UNK
