hey_commuter-Amy-slow_high_pitch-polly.wav, hey commuter, hey commuter
hey_commuter-Matthew-weak_slow-polly.wav, hey commuter, hey commuter
hey_commuter-Russell-slow_high_pitch-polly.wav, hey commuter, hey commuter
hey_commuter-Matthew-slow_high_pitch-polly.wav, hey commuter, hey commuter
hey_commuter-Matthew-slow_low_pitch-polly.wav, hey commuter, hey commuter
lights_off-Kimberly-strong_high_pitch-polly.wav, lights off, lights off
lights_off-Salli-slow_high_pitch-polly.wav, lights off, lights off
lights_off-Ivy-slow_low_pitch-polly.wav, lights off, lights off
lights_off-Brian-strong_low_pitch-polly.wav, lights off, lights off
lights_off-Kendra-fast_high_pitch-polly.wav, lights off, lights off
lights_off-Justin-strong_fast-polly.wav, lights off, lights off
lights_off-Ivy-strong_fast-polly.wav, lights off, lights off
lights_off-Kimberly-slow_low_pitch-polly.wav, lights off, lights off
lights_off-Joey-slow_high_pitch-polly.wav, lights off, lights off
lights_off-Ivy-strong_slow-polly.wav, lights off, lights off
lights_off-Salli-fast_high_pitch-polly.wav, lights off, lights off
lights_off-Salli-fast_low_pitch-polly.wav, lights off, lights off
lights_off-Joey-weak_low_pitch-polly.wav, lights off, lights off
lights_off-Joey-strong_slow-polly.wav, lights off, lights off
lights_off-Matthew-weak_low_pitch-polly.wav, lights off, lights off
lights_off-Matthew-weak_high_pitch-polly.wav, lights off, lights off
lights_off-Justin-strong_high_pitch-polly.wav, lights off, lights off
lights_off-Brian-slow_low_pitch-polly.wav, lights off, lights off
lights_off-Joey-fast_low_pitch-polly.wav, lights off, lights off
lights_off-Joey-weak_fast-polly.wav, lights off, lights off
lights_off-Ivy-strong_high_pitch-polly.wav, lights off, lights off
lights_off-Kendra-weak_fast-polly.wav, lights off, lights off
lights_off-Kendra-strong_high_pitch-polly.wav, lights off, lights off
lights_off-Brian-fast_low_pitch-polly.wav, lights off, lights off
lights_off-Kendra-weak_slow-polly.wav, lights off, lights off
lights_off-Salli-weak_slow-polly.wav, lights off, lights off
lights_off-Nicole-slow_high_pitch-polly.wav, lights off, lights off
lights_off-Geraint-weak_low_pitch-polly.wav, lights off, lights off
lights_off-Salli-strong_low_pitch-polly.wav, lights off, lights off
lights_off-Kimberly-strong_low_pitch-polly.wav, lights off, lights off
lights_off-Kimberly-slow_high_pitch-polly.wav, lights off, lights off
lights_off-Nicole-weak_low_pitch-polly.wav, lights off, lights off
lights_off-Matthew-weak_slow-polly.wav, lights off, lights off
lights_off-Kendra-fast_low_pitch-polly.wav, lights off, lights off
lights_off-Nicole-fast_high_pitch-polly.wav, lights off, lights off
lights_off-Joey-slow_low_pitch-polly.wav, lights off, lights off
lights_off-Kimberly-weak_fast-polly.wav, lights off, lights off
lights_off-Justin-slow_low_pitch-polly.wav, lights off, lights off
lights_off-Russell-slow_low_pitch-polly.wav, lights off, lights off
lights_off-Salli-strong_fast-polly.wav, lights off, lights off
lights_off-Joanna-strong_slow-polly.wav, lights off, lights off
lights_off-Salli-strong_slow-polly.wav, lights off, lights off
lights_off-Ivy-strong_low_pitch-polly.wav, lights off, lights off
lights_off-Matthew-fast_low_pitch-polly.wav, lights off, lights off
lights_off-Kendra-slow_low_pitch-polly.wav, lights off, lights off
lights_off-Justin-fast_high_pitch-polly.wav, lights off, lights off
lights_off-Matthew-fast_high_pitch-polly.wav, lights off, lights off
