Ei_Jarbas-Vitoria-weak_slow-polly.wav, Ei Jarbas, e Jarbas
Ei_Jarbas-Vitoria-fast_high_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Vitoria-slow_high_pitch-polly.wav, Ei Jarbas, em jarba
Ei_Jarbas-Ines-slow_low_pitch-polly.wav, Ei Jarbas, e jardas
Ei_Jarbas-Ricardo-strong_fast-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ines-slow_high_pitch-polly.wav, Ei Jarbas, beijar
Ei_Jarbas-Cristiano-weak_fast-polly.wav, Ei Jarbas, queijada
Ei_Jarbas-Cristiano-fast_low_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Cristiano-strong_slow-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Vitoria-fast-polly.wav, Ei Jarbas, slime
Ei_Jarbas-Ricardo-polly.wav, Ei Jarbas, e já vi
Ei_Jarbas-Vitoria-weak-polly.wav, Ei Jarbas, Ninjago
Ei_Jarbas-Ricardo-fast_low_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ines-strong_high_pitch-polly.wav, Ei Jarbas, beijar-me
Ei_Jarbas-Cristiano-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ines-low_pitch-polly.wav, Ei Jarbas, hexagon
Ei_Jarbas-Cristiano-high_pitch-polly.wav, Ei Jarbas, Jarbas
Ei_Jarbas-Ines-high_pitch-polly.wav, Ei Jarbas, hexágono
Ei_Jarbas-Cristiano-slow-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ricardo-weak-polly.wav, Ei Jarbas, pijama
Ei_Jarbas-Ricardo-fast_high_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ricardo-weak_high_pitch-polly.wav, Ei Jarbas, eu já vi
Ei_Jarbas-Vitoria-low_pitch-polly.wav, Ei Jarbas, Ninjago
Ei_Jarbas-Vitoria-strong_low_pitch-polly.wav, Ei Jarbas, isag
Ei_Jarbas-Vitoria-polly.wav, Ei Jarbas, e Jarbas
Ei_Jarbas-Cristiano-slow_low_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ricardo-weak_fast-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ricardo-slow_high_pitch-polly.wav, Ei Jarbas, e Jarbas
Ei_Jarbas-Ines-fast-polly.wav, Ei Jarbas, beijar
Ei_Jarbas-Cristiano-low_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Vitoria-strong_high_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ines-weak_slow-polly.wav, Ei Jarbas, é jardas
Ei_Jarbas-Ines-strong_slow-polly.wav, Ei Jarbas, e Jarbas
Ei_Jarbas-Cristiano-strong_high_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Cristiano-strong-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Cristiano-strong_low_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Cristiano-fast_high_pitch-polly.wav, Ei Jarbas, Eu já
Ei_Jarbas-Vitoria-slow-polly.wav, Ei Jarbas, beijar bem
Ei_Jarbas-Cristiano-strong_fast-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ricardo-softly-polly.wav, Ei Jarbas, pijama
Ei_Jarbas-Vitoria-strong-polly.wav, Ei Jarbas, barba
Ei_Jarbas-Ines-strong-polly.wav, Ei Jarbas, beijar-me
Ei_Jarbas-Ricardo-strong_low_pitch-polly.wav, Ei Jarbas, eu já vi
Ei_Jarbas-Ricardo-weak_low_pitch-polly.wav, Ei Jarbas, eu já vi
Ei_Jarbas-Vitoria-fast_low_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Vitoria-strong_slow-polly.wav, Ei Jarbas, beijar Bass
Ei_Jarbas-Cristiano-weak_slow-polly.wav, Ei Jarbas, UNK
